k=8 : a=4, b=60, c=56, length = 240, b == a+c - True, <lcm - True
k=8 : a=945, b=225, c=120, length = 2580, b == a+c - False, <lcm - False
k=8 : a=960, b=225, c=105, length = 2580, b == a+c - False, <lcm - False
k=8 : a=226, b=226, c=840, length = 2584, b == a+c - False, <lcm - False
k=8 : a=240, b=226, c=826, length = 2584, b == a+c - False, <lcm - True
k=8 : a=240, b=646, c=406, length = 2584, b == a+c - True, <lcm - True
k=8 : a=406, b=646, c=240, length = 2584, b == a+c - True, <lcm - True
k=8 : a=826, b=226, c=240, length = 2584, b == a+c - False, <lcm - True
k=8 : a=840, b=226, c=226, length = 2584, b == a+c - False, <lcm - False
k=8 : a=227, b=227, c=840, length = 2588, b == a+c - False, <lcm - False
k=8 : a=287, b=647, c=360, length = 2588, b == a+c - True, <lcm - True
k=8 : a=360, b=227, c=707, length = 2588, b == a+c - False, <lcm - True
k=8 : a=360, b=647, c=287, length = 2588, b == a+c - True, <lcm - True
k=8 : a=707, b=227, c=360, length = 2588, b == a+c - False, <lcm - True
k=8 : a=840, b=227, c=227, length = 2588, b == a+c - False, <lcm - False
k=8 : a=18, b=648, c=630, length = 2592, b == a+c - True, <lcm - True
k=8 : a=60, b=228, c=1008, length = 2592, b == a+c - False, <lcm - False
k=8 : a=60, b=648, c=588, length = 2592, b == a+c - True, <lcm - True
k=8 : a=60, b=1068, c=168, length = 2592, b == a+c - False, <lcm - False
k=8 : a=168, b=228, c=900, length = 2592, b == a+c - False, <lcm - False
k=8 : a=168, b=648, c=480, length = 2592, b == a+c - True, <lcm - True
k=8 : a=168, b=1068, c=60, length = 2592, b == a+c - False, <lcm - False
k=8 : a=210, b=648, c=438, length = 2592, b == a+c - True, <lcm - True
k=8 : a=228, b=228, c=840, length = 2592, b == a+c - False, <lcm - False
k=8 : a=228, b=648, c=420, length = 2592, b == a+c - True, <lcm - True
k=8 : a=270, b=648, c=378, length = 2592, b == a+c - True, <lcm - True
k=8 : a=378, b=648, c=270, length = 2592, b == a+c - True, <lcm - True
k=8 : a=420, b=228, c=648, length = 2592, b == a+c - False, <lcm - True
k=8 : a=420, b=648, c=228, length = 2592, b == a+c - True, <lcm - True
k=8 : a=438, b=648, c=210, length = 2592, b == a+c - True, <lcm - True
k=8 : a=480, b=228, c=588, length = 2592, b == a+c - False, <lcm - True
k=8 : a=480, b=648, c=168, length = 2592, b == a+c - True, <lcm - True
k=8 : a=588, b=228, c=480, length = 2592, b == a+c - False, <lcm - True
k=8 : a=588, b=648, c=60, length = 2592, b == a+c - True, <lcm - True
k=8 : a=630, b=648, c=18, length = 2592, b == a+c - True, <lcm - True
k=8 : a=648, b=228, c=420, length = 2592, b == a+c - False, <lcm - True
k=8 : a=840, b=228, c=228, length = 2592, b == a+c - False, <lcm - False
k=8 : a=900, b=228, c=168, length = 2592, b == a+c - False, <lcm - False
k=8 : a=1008, b=228, c=60, length = 2592, b == a+c - False, <lcm - False
k=8 : a=49, b=649, c=600, length = 2596, b == a+c - True, <lcm - True
k=8 : a=229, b=229, c=840, length = 2596, b == a+c - False, <lcm - False
k=8 : a=469, b=229, c=600, length = 2596, b == a+c - False, <lcm - True
k=8 : a=600, b=229, c=469, length = 2596, b == a+c - False, <lcm - True
k=8 : a=600, b=649, c=49, length = 2596, b == a+c - True, <lcm - True
k=8 : a=840, b=229, c=229, length = 2596, b == a+c - False, <lcm - False
k=8 : a=230, b=230, c=840, length = 2600, b == a+c - False, <lcm - False
k=8 : a=350, b=230, c=720, length = 2600, b == a+c - False, <lcm - True
k=8 : a=720, b=230, c=350, length = 2600, b == a+c - False, <lcm - True
k=8 : a=840, b=230, c=230, length = 2600, b == a+c - False, <lcm - False
k=8 : a=51, b=651, c=600, length = 2604, b == a+c - True, <lcm - True
k=8 : a=111, b=231, c=960, length = 2604, b == a+c - False, <lcm - False
k=8 : a=111, b=1071, c=120, length = 2604, b == a+c - False, <lcm - False
k=8 : a=120, b=231, c=951, length = 2604, b == a+c - False, <lcm - False
k=8 : a=120, b=651, c=531, length = 2604, b == a+c - True, <lcm - True
k=8 : a=120, b=1071, c=111, length = 2604, b == a+c - False, <lcm - False
k=8 : a=171, b=651, c=480, length = 2604, b == a+c - True, <lcm - True
k=8 : a=231, b=231, c=840, length = 2604, b == a+c - False, <lcm - False
k=8 : a=240, b=231, c=831, length = 2604, b == a+c - False, <lcm - True
k=8 : a=240, b=651, c=411, length = 2604, b == a+c - True, <lcm - True
k=8 : a=291, b=651, c=360, length = 2604, b == a+c - True, <lcm - True
k=8 : a=351, b=231, c=720, length = 2604, b == a+c - False, <lcm - True
k=8 : a=360, b=231, c=711, length = 2604, b == a+c - False, <lcm - True
k=8 : a=360, b=651, c=291, length = 2604, b == a+c - True, <lcm - True
k=8 : a=411, b=651, c=240, length = 2604, b == a+c - True, <lcm - True
k=8 : a=471, b=231, c=600, length = 2604, b == a+c - False, <lcm - True
k=8 : a=480, b=231, c=591, length = 2604, b == a+c - False, <lcm - True
k=8 : a=480, b=651, c=171, length = 2604, b == a+c - True, <lcm - True
k=8 : a=531, b=651, c=120, length = 2604, b == a+c - True, <lcm - True
k=8 : a=591, b=231, c=480, length = 2604, b == a+c - False, <lcm - True
k=8 : a=600, b=231, c=471, length = 2604, b == a+c - False, <lcm - True
k=8 : a=600, b=651, c=51, length = 2604, b == a+c - True, <lcm - True
k=8 : a=711, b=231, c=360, length = 2604, b == a+c - False, <lcm - True
k=8 : a=720, b=231, c=351, length = 2604, b == a+c - False, <lcm - True
k=8 : a=831, b=231, c=240, length = 2604, b == a+c - False, <lcm - True
k=8 : a=840, b=231, c=231, length = 2604, b == a+c - False, <lcm - False
k=8 : a=951, b=231, c=120, length = 2604, b == a+c - False, <lcm - False
k=8 : a=960, b=231, c=111, length = 2604, b == a+c - False, <lcm - False
k=8 : a=112, b=232, c=960, length = 2608, b == a+c - False, <lcm - False
k=8 : a=112, b=652, c=540, length = 2608, b == a+c - True, <lcm - True
k=8 : a=112, b=1072, c=120, length = 2608, b == a+c - False, <lcm - False
k=8 : a=120, b=232, c=952, length = 2608, b == a+c - False, <lcm - False
k=8 : a=120, b=652, c=532, length = 2608, b == a+c - True, <lcm - True
k=8 : a=120, b=1072, c=112, length = 2608, b == a+c - False, <lcm - False
k=8 : a=232, b=232, c=840, length = 2608, b == a+c - False, <lcm - False
k=8 : a=232, b=652, c=420, length = 2608, b == a+c - True, <lcm - True
k=8 : a=420, b=232, c=652, length = 2608, b == a+c - False, <lcm - True
k=8 : a=420, b=652, c=232, length = 2608, b == a+c - True, <lcm - True
k=8 : a=532, b=232, c=540, length = 2608, b == a+c - False, <lcm - True
k=8 : a=532, b=652, c=120, length = 2608, b == a+c - True, <lcm - True
k=8 : a=540, b=232, c=532, length = 2608, b == a+c - False, <lcm - True
k=8 : a=540, b=652, c=112, length = 2608, b == a+c - True, <lcm - True
k=8 : a=652, b=232, c=420, length = 2608, b == a+c - False, <lcm - True
k=8 : a=840, b=232, c=232, length = 2608, b == a+c - False, <lcm - False
k=8 : a=952, b=232, c=120, length = 2608, b == a+c - False, <lcm - False
k=8 : a=960, b=232, c=112, length = 2608, b == a+c - False, <lcm - False
k=8 : a=233, b=233, c=840, length = 2612, b == a+c - False, <lcm - False
k=8 : a=240, b=233, c=833, length = 2612, b == a+c - False, <lcm - True
k=8 : a=240, b=653, c=413, length = 2612, b == a+c - True, <lcm - True
k=8 : a=413, b=653, c=240, length = 2612, b == a+c - True, <lcm - True
k=8 : a=833, b=233, c=240, length = 2612, b == a+c - False, <lcm - True
k=8 : a=840, b=233, c=233, length = 2612, b == a+c - False, <lcm - False
k=8 : a=24, b=234, c=1050, length = 2616, b == a+c - False, <lcm - False
k=8 : a=24, b=654, c=630, length = 2616, b == a+c - True, <lcm - True
k=8 : a=24, b=1074, c=210, length = 2616, b == a+c - False, <lcm - False
k=8 : a=150, b=654, c=504, length = 2616, b == a+c - True, <lcm - True
k=8 : a=210, b=234, c=864, length = 2616, b == a+c - False, <lcm - False
k=8 : a=210, b=1074, c=24, length = 2616, b == a+c - False, <lcm - False
k=8 : a=234, b=234, c=840, length = 2616, b == a+c - False, <lcm - False
k=8 : a=294, b=654, c=360, length = 2616, b == a+c - True, <lcm - True
k=8 : a=360, b=234, c=714, length = 2616, b == a+c - False, <lcm - True
k=8 : a=360, b=654, c=294, length = 2616, b == a+c - True, <lcm - True
k=8 : a=504, b=234, c=570, length = 2616, b == a+c - False, <lcm - True
k=8 : a=504, b=654, c=150, length = 2616, b == a+c - True, <lcm - True
k=8 : a=570, b=234, c=504, length = 2616, b == a+c - False, <lcm - True
k=8 : a=630, b=654, c=24, length = 2616, b == a+c - True, <lcm - True
k=8 : a=714, b=234, c=360, length = 2616, b == a+c - False, <lcm - True
k=8 : a=840, b=234, c=234, length = 2616, b == a+c - False, <lcm - False
k=8 : a=864, b=234, c=210, length = 2616, b == a+c - False, <lcm - False
k=8 : a=1050, b=234, c=24, length = 2616, b == a+c - False, <lcm - False
k=8 : a=175, b=655, c=480, length = 2620, b == a+c - True, <lcm - True
k=8 : a=235, b=235, c=840, length = 2620, b == a+c - False, <lcm - False
k=8 : a=480, b=235, c=595, length = 2620, b == a+c - False, <lcm - True
k=8 : a=480, b=655, c=175, length = 2620, b == a+c - True, <lcm - True
k=8 : a=595, b=235, c=480, length = 2620, b == a+c - False, <lcm - True
k=8 : a=840, b=235, c=235, length = 2620, b == a+c - False, <lcm - False
k=8 : a=56, b=236, c=1020, length = 2624, b == a+c - False, <lcm - False
k=8 : a=56, b=656, c=600, length = 2624, b == a+c - True, <lcm - True
k=8 : a=56, b=1076, c=180, length = 2624, b == a+c - False, <lcm - False
k=8 : a=180, b=236, c=896, length = 2624, b == a+c - False, <lcm - False
k=8 : a=180, b=656, c=476, length = 2624, b == a+c - True, <lcm - True
k=8 : a=180, b=1076, c=56, length = 2624, b == a+c - False, <lcm - False
k=8 : a=236, b=236, c=840, length = 2624, b == a+c - False, <lcm - False
k=8 : a=236, b=656, c=420, length = 2624, b == a+c - True, <lcm - True
k=8 : a=420, b=236, c=656, length = 2624, b == a+c - False, <lcm - True
k=8 : a=420, b=656, c=236, length = 2624, b == a+c - True, <lcm - True
k=8 : a=476, b=236, c=600, length = 2624, b == a+c - False, <lcm - True
k=8 : a=476, b=656, c=180, length = 2624, b == a+c - True, <lcm - True
k=8 : a=600, b=236, c=476, length = 2624, b == a+c - False, <lcm - True
k=8 : a=600, b=656, c=56, length = 2624, b == a+c - True, <lcm - True
k=8 : a=656, b=236, c=420, length = 2624, b == a+c - False, <lcm - True
k=8 : a=840, b=236, c=236, length = 2624, b == a+c - False, <lcm - False
k=8 : a=896, b=236, c=180, length = 2624, b == a+c - False, <lcm - False
k=8 : a=1020, b=236, c=56, length = 2624, b == a+c - False, <lcm - False
k=8 : a=237, b=237, c=840, length = 2628, b == a+c - False, <lcm - False
k=8 : a=357, b=237, c=720, length = 2628, b == a+c - False, <lcm - True
k=8 : a=720, b=237, c=357, length = 2628, b == a+c - False, <lcm - True
k=8 : a=840, b=237, c=237, length = 2628, b == a+c - False, <lcm - False
k=8 : a=58, b=658, c=600, length = 2632, b == a+c - True, <lcm - True
k=8 : a=118, b=238, c=960, length = 2632, b == a+c - False, <lcm - False
k=8 : a=118, b=1078, c=120, length = 2632, b == a+c - False, <lcm - False
k=8 : a=120, b=238, c=958, length = 2632, b == a+c - False, <lcm - False
k=8 : a=120, b=658, c=538, length = 2632, b == a+c - True, <lcm - True
k=8 : a=120, b=1078, c=118, length = 2632, b == a+c - False, <lcm - False
k=8 : a=178, b=658, c=480, length = 2632, b == a+c - True, <lcm - True
k=8 : a=238, b=238, c=840, length = 2632, b == a+c - False, <lcm - False
k=8 : a=240, b=238, c=838, length = 2632, b == a+c - False, <lcm - True
k=8 : a=240, b=658, c=418, length = 2632, b == a+c - True, <lcm - True
k=8 : a=298, b=658, c=360, length = 2632, b == a+c - True, <lcm - True
k=8 : a=358, b=238, c=720, length = 2632, b == a+c - False, <lcm - True
k=8 : a=360, b=238, c=718, length = 2632, b == a+c - False, <lcm - True
k=8 : a=360, b=658, c=298, length = 2632, b == a+c - True, <lcm - True
k=8 : a=418, b=658, c=240, length = 2632, b == a+c - True, <lcm - True
k=8 : a=478, b=238, c=600, length = 2632, b == a+c - False, <lcm - True
k=8 : a=480, b=238, c=598, length = 2632, b == a+c - False, <lcm - True
k=8 : a=480, b=658, c=178, length = 2632, b == a+c - True, <lcm - True
k=8 : a=538, b=658, c=120, length = 2632, b == a+c - True, <lcm - True
k=8 : a=598, b=238, c=480, length = 2632, b == a+c - False, <lcm - True
k=8 : a=600, b=238, c=478, length = 2632, b == a+c - False, <lcm - True
k=8 : a=600, b=658, c=58, length = 2632, b == a+c - True, <lcm - True
k=8 : a=718, b=238, c=360, length = 2632, b == a+c - False, <lcm - True
k=8 : a=720, b=238, c=358, length = 2632, b == a+c - False, <lcm - True
k=8 : a=838, b=238, c=240, length = 2632, b == a+c - False, <lcm - True
k=8 : a=840, b=238, c=238, length = 2632, b == a+c - False, <lcm - False
k=8 : a=958, b=238, c=120, length = 2632, b == a+c - False, <lcm - False
k=8 : a=960, b=238, c=118, length = 2632, b == a+c - False, <lcm - False
k=8 : a=119, b=239, c=960, length = 2636, b == a+c - False, <lcm - False
k=8 : a=119, b=1079, c=120, length = 2636, b == a+c - False, <lcm - False
k=8 : a=120, b=239, c=959, length = 2636, b == a+c - False, <lcm - False
k=8 : a=120, b=659, c=539, length = 2636, b == a+c - True, <lcm - True
k=8 : a=120, b=1079, c=119, length = 2636, b == a+c - False, <lcm - False
k=8 : a=239, b=239, c=840, length = 2636, b == a+c - False, <lcm - False
k=8 : a=539, b=659, c=120, length = 2636, b == a+c - True, <lcm - True
k=8 : a=840, b=239, c=239, length = 2636, b == a+c - False, <lcm - False
k=8 : a=959, b=239, c=120, length = 2636, b == a+c - False, <lcm - False
k=8 : a=960, b=239, c=119, length = 2636, b == a+c - False, <lcm - False
k=8 : a=2, b=240, c=1078, length = 2640, b == a+c - False, <lcm - False
k=8 : a=2, b=1080, c=238, length = 2640, b == a+c - False, <lcm - False
k=8 : a=7, b=240, c=1073, length = 2640, b == a+c - False, <lcm - False
k=8 : a=7, b=1080, c=233, length = 2640, b == a+c - False, <lcm - False
k=8 : a=9, b=240, c=1071, length = 2640, b == a+c - False, <lcm - False
k=8 : a=9, b=1080, c=231, length = 2640, b == a+c - False, <lcm - False
k=8 : a=14, b=240, c=1066, length = 2640, b == a+c - False, <lcm - False
k=8 : a=14, b=1080, c=226, length = 2640, b == a+c - False, <lcm - False
k=8 : a=16, b=240, c=1064, length = 2640, b == a+c - False, <lcm - False
k=8 : a=16, b=660, c=644, length = 2640, b == a+c - True, <lcm - True
k=8 : a=16, b=1080, c=224, length = 2640, b == a+c - False, <lcm - False
k=8 : a=21, b=240, c=1059, length = 2640, b == a+c - False, <lcm - False
k=8 : a=21, b=1080, c=219, length = 2640, b == a+c - False, <lcm - False
k=8 : a=23, b=240, c=1057, length = 2640, b == a+c - False, <lcm - False
k=8 : a=23, b=1080, c=217, length = 2640, b == a+c - False, <lcm - False
k=8 : a=28, b=240, c=1052, length = 2640, b == a+c - False, <lcm - False
k=8 : a=28, b=660, c=632, length = 2640, b == a+c - True, <lcm - True
k=8 : a=28, b=1080, c=212, length = 2640, b == a+c - False, <lcm - False
k=8 : a=30, b=240, c=1050, length = 2640, b == a+c - False, <lcm - False
k=8 : a=30, b=1080, c=210, length = 2640, b == a+c - False, <lcm - False
k=8 : a=35, b=240, c=1045, length = 2640, b == a+c - False, <lcm - False
k=8 : a=35, b=1080, c=205, length = 2640, b == a+c - False, <lcm - False
k=8 : a=37, b=240, c=1043, length = 2640, b == a+c - False, <lcm - False
k=8 : a=37, b=1080, c=203, length = 2640, b == a+c - False, <lcm - False
k=8 : a=42, b=240, c=1038, length = 2640, b == a+c - False, <lcm - False
k=8 : a=42, b=1080, c=198, length = 2640, b == a+c - False, <lcm - False
k=8 : a=44, b=240, c=1036, length = 2640, b == a+c - False, <lcm - False
k=8 : a=44, b=660, c=616, length = 2640, b == a+c - True, <lcm - True
k=8 : a=44, b=1080, c=196, length = 2640, b == a+c - False, <lcm - False
k=8 : a=49, b=240, c=1031, length = 2640, b == a+c - False, <lcm - False
k=8 : a=49, b=1080, c=191, length = 2640, b == a+c - False, <lcm - False
k=8 : a=51, b=240, c=1029, length = 2640, b == a+c - False, <lcm - False
k=8 : a=51, b=1080, c=189, length = 2640, b == a+c - False, <lcm - False
k=8 : a=56, b=240, c=1024, length = 2640, b == a+c - False, <lcm - False
k=8 : a=56, b=660, c=604, length = 2640, b == a+c - True, <lcm - True
k=8 : a=56, b=1080, c=184, length = 2640, b == a+c - False, <lcm - False
k=8 : a=58, b=240, c=1022, length = 2640, b == a+c - False, <lcm - False
k=8 : a=58, b=1080, c=182, length = 2640, b == a+c - False, <lcm - False
k=8 : a=63, b=240, c=1017, length = 2640, b == a+c - False, <lcm - False
k=8 : a=63, b=1080, c=177, length = 2640, b == a+c - False, <lcm - False
k=8 : a=65, b=240, c=1015, length = 2640, b == a+c - False, <lcm - False
k=8 : a=65, b=1080, c=175, length = 2640, b == a+c - False, <lcm - False
k=8 : a=70, b=240, c=1010, length = 2640, b == a+c - False, <lcm - False
k=8 : a=70, b=1080, c=170, length = 2640, b == a+c - False, <lcm - False
k=8 : a=72, b=240, c=1008, length = 2640, b == a+c - False, <lcm - False
k=8 : a=72, b=660, c=588, length = 2640, b == a+c - True, <lcm - True
k=8 : a=72, b=1080, c=168, length = 2640, b == a+c - False, <lcm - False
k=8 : a=77, b=240, c=1003, length = 2640, b == a+c - False, <lcm - False
k=8 : a=77, b=1080, c=163, length = 2640, b == a+c - False, <lcm - False
k=8 : a=79, b=240, c=1001, length = 2640, b == a+c - False, <lcm - False
k=8 : a=79, b=1080, c=161, length = 2640, b == a+c - False, <lcm - False
k=8 : a=84, b=240, c=996, length = 2640, b == a+c - False, <lcm - False
k=8 : a=84, b=660, c=576, length = 2640, b == a+c - True, <lcm - True
k=8 : a=84, b=1080, c=156, length = 2640, b == a+c - False, <lcm - False
k=8 : a=86, b=240, c=994, length = 2640, b == a+c - False, <lcm - False
k=8 : a=86, b=1080, c=154, length = 2640, b == a+c - False, <lcm - False
k=8 : a=91, b=240, c=989, length = 2640, b == a+c - False, <lcm - False
k=8 : a=91, b=1080, c=149, length = 2640, b == a+c - False, <lcm - False
k=8 : a=93, b=240, c=987, length = 2640, b == a+c - False, <lcm - False
k=8 : a=93, b=1080, c=147, length = 2640, b == a+c - False, <lcm - False
k=8 : a=98, b=240, c=982, length = 2640, b == a+c - False, <lcm - False
k=8 : a=98, b=1080, c=142, length = 2640, b == a+c - False, <lcm - False
k=8 : a=100, b=240, c=980, length = 2640, b == a+c - False, <lcm - False
k=8 : a=100, b=660, c=560, length = 2640, b == a+c - True, <lcm - True
k=8 : a=100, b=1080, c=140, length = 2640, b == a+c - False, <lcm - False
k=8 : a=105, b=240, c=975, length = 2640, b == a+c - False, <lcm - False
k=8 : a=105, b=1080, c=135, length = 2640, b == a+c - False, <lcm - False
k=8 : a=107, b=240, c=973, length = 2640, b == a+c - False, <lcm - False
k=8 : a=107, b=1080, c=133, length = 2640, b == a+c - False, <lcm - False
k=8 : a=112, b=240, c=968, length = 2640, b == a+c - False, <lcm - False
k=8 : a=112, b=660, c=548, length = 2640, b == a+c - True, <lcm - True
k=8 : a=112, b=1080, c=128, length = 2640, b == a+c - False, <lcm - False
k=8 : a=114, b=240, c=966, length = 2640, b == a+c - False, <lcm - False
k=8 : a=114, b=1080, c=126, length = 2640, b == a+c - False, <lcm - False
k=8 : a=119, b=240, c=961, length = 2640, b == a+c - False, <lcm - False
k=8 : a=119, b=1080, c=121, length = 2640, b == a+c - False, <lcm - False
k=8 : a=121, b=240, c=959, length = 2640, b == a+c - False, <lcm - False
k=8 : a=121, b=1080, c=119, length = 2640, b == a+c - False, <lcm - False
k=8 : a=126, b=240, c=954, length = 2640, b == a+c - False, <lcm - False
k=8 : a=126, b=1080, c=114, length = 2640, b == a+c - False, <lcm - False
k=8 : a=128, b=240, c=952, length = 2640, b == a+c - False, <lcm - False
k=8 : a=128, b=660, c=532, length = 2640, b == a+c - True, <lcm - True
k=8 : a=128, b=1080, c=112, length = 2640, b == a+c - False, <lcm - False
k=8 : a=133, b=240, c=947, length = 2640, b == a+c - False, <lcm - False
k=8 : a=133, b=1080, c=107, length = 2640, b == a+c - False, <lcm - False
k=8 : a=135, b=240, c=945, length = 2640, b == a+c - False, <lcm - False
k=8 : a=135, b=1080, c=105, length = 2640, b == a+c - False, <lcm - False
k=8 : a=140, b=240, c=940, length = 2640, b == a+c - False, <lcm - False
k=8 : a=140, b=660, c=520, length = 2640, b == a+c - True, <lcm - True
k=8 : a=140, b=1080, c=100, length = 2640, b == a+c - False, <lcm - False
k=8 : a=142, b=240, c=938, length = 2640, b == a+c - False, <lcm - False
k=8 : a=142, b=1080, c=98, length = 2640, b == a+c - False, <lcm - False
k=8 : a=147, b=240, c=933, length = 2640, b == a+c - False, <lcm - False
k=8 : a=147, b=1080, c=93, length = 2640, b == a+c - False, <lcm - False
k=8 : a=149, b=240, c=931, length = 2640, b == a+c - False, <lcm - False
k=8 : a=149, b=1080, c=91, length = 2640, b == a+c - False, <lcm - False
k=8 : a=154, b=240, c=926, length = 2640, b == a+c - False, <lcm - False
k=8 : a=154, b=1080, c=86, length = 2640, b == a+c - False, <lcm - False
k=8 : a=156, b=240, c=924, length = 2640, b == a+c - False, <lcm - False
k=8 : a=156, b=660, c=504, length = 2640, b == a+c - True, <lcm - True
k=8 : a=156, b=1080, c=84, length = 2640, b == a+c - False, <lcm - False
k=8 : a=161, b=240, c=919, length = 2640, b == a+c - False, <lcm - False
k=8 : a=161, b=1080, c=79, length = 2640, b == a+c - False, <lcm - False
k=8 : a=163, b=240, c=917, length = 2640, b == a+c - False, <lcm - False
k=8 : a=163, b=1080, c=77, length = 2640, b == a+c - False, <lcm - False
k=8 : a=168, b=240, c=912, length = 2640, b == a+c - False, <lcm - False
k=8 : a=168, b=660, c=492, length = 2640, b == a+c - True, <lcm - True
k=8 : a=168, b=1080, c=72, length = 2640, b == a+c - False, <lcm - False
k=8 : a=170, b=240, c=910, length = 2640, b == a+c - False, <lcm - False
k=8 : a=170, b=1080, c=70, length = 2640, b == a+c - False, <lcm - False
k=8 : a=175, b=240, c=905, length = 2640, b == a+c - False, <lcm - False
k=8 : a=175, b=1080, c=65, length = 2640, b == a+c - False, <lcm - False
k=8 : a=177, b=240, c=903, length = 2640, b == a+c - False, <lcm - False
k=8 : a=177, b=1080, c=63, length = 2640, b == a+c - False, <lcm - False
k=8 : a=182, b=240, c=898, length = 2640, b == a+c - False, <lcm - False
k=8 : a=182, b=1080, c=58, length = 2640, b == a+c - False, <lcm - False
k=8 : a=184, b=240, c=896, length = 2640, b == a+c - False, <lcm - False
k=8 : a=184, b=660, c=476, length = 2640, b == a+c - True, <lcm - True
k=8 : a=184, b=1080, c=56, length = 2640, b == a+c - False, <lcm - False
k=8 : a=189, b=240, c=891, length = 2640, b == a+c - False, <lcm - False
k=8 : a=189, b=1080, c=51, length = 2640, b == a+c - False, <lcm - False
k=8 : a=191, b=240, c=889, length = 2640, b == a+c - False, <lcm - False
k=8 : a=191, b=1080, c=49, length = 2640, b == a+c - False, <lcm - False
k=8 : a=196, b=240, c=884, length = 2640, b == a+c - False, <lcm - False
k=8 : a=196, b=660, c=464, length = 2640, b == a+c - True, <lcm - True
k=8 : a=196, b=1080, c=44, length = 2640, b == a+c - False, <lcm - False
k=8 : a=198, b=240, c=882, length = 2640, b == a+c - False, <lcm - False
k=8 : a=198, b=1080, c=42, length = 2640, b == a+c - False, <lcm - False
k=8 : a=203, b=240, c=877, length = 2640, b == a+c - False, <lcm - False
k=8 : a=203, b=1080, c=37, length = 2640, b == a+c - False, <lcm - False
k=8 : a=205, b=240, c=875, length = 2640, b == a+c - False, <lcm - False
k=8 : a=205, b=1080, c=35, length = 2640, b == a+c - False, <lcm - False
k=8 : a=210, b=240, c=870, length = 2640, b == a+c - False, <lcm - False
k=8 : a=210, b=1080, c=30, length = 2640, b == a+c - False, <lcm - False
k=8 : a=212, b=240, c=868, length = 2640, b == a+c - False, <lcm - False
k=8 : a=212, b=660, c=448, length = 2640, b == a+c - True, <lcm - True
k=8 : a=212, b=1080, c=28, length = 2640, b == a+c - False, <lcm - False
k=8 : a=217, b=240, c=863, length = 2640, b == a+c - False, <lcm - False
k=8 : a=217, b=1080, c=23, length = 2640, b == a+c - False, <lcm - False
k=8 : a=219, b=240, c=861, length = 2640, b == a+c - False, <lcm - False
k=8 : a=219, b=1080, c=21, length = 2640, b == a+c - False, <lcm - False
k=8 : a=224, b=240, c=856, length = 2640, b == a+c - False, <lcm - False
k=8 : a=224, b=660, c=436, length = 2640, b == a+c - True, <lcm - True
k=8 : a=224, b=1080, c=16, length = 2640, b == a+c - False, <lcm - False
k=8 : a=226, b=240, c=854, length = 2640, b == a+c - False, <lcm - False
k=8 : a=226, b=1080, c=14, length = 2640, b == a+c - False, <lcm - False
k=8 : a=231, b=240, c=849, length = 2640, b == a+c - False, <lcm - False
k=8 : a=231, b=1080, c=9, length = 2640, b == a+c - False, <lcm - False
k=8 : a=233, b=240, c=847, length = 2640, b == a+c - False, <lcm - False
k=8 : a=233, b=1080, c=7, length = 2640, b == a+c - False, <lcm - False
k=8 : a=238, b=240, c=842, length = 2640, b == a+c - False, <lcm - False
k=8 : a=238, b=1080, c=2, length = 2640, b == a+c - False, <lcm - False
k=8 : a=240, b=240, c=840, length = 2640, b == a+c - False, <lcm - False
k=8 : a=240, b=660, c=420, length = 2640, b == a+c - True, <lcm - True
k=8 : a=245, b=240, c=835, length = 2640, b == a+c - False, <lcm - True
k=8 : a=247, b=240, c=833, length = 2640, b == a+c - False, <lcm - True
k=8 : a=252, b=240, c=828, length = 2640, b == a+c - False, <lcm - True
k=8 : a=252, b=660, c=408, length = 2640, b == a+c - True, <lcm - True
k=8 : a=254, b=240, c=826, length = 2640, b == a+c - False, <lcm - True
k=8 : a=259, b=240, c=821, length = 2640, b == a+c - False, <lcm - True
k=8 : a=261, b=240, c=819, length = 2640, b == a+c - False, <lcm - True
k=8 : a=266, b=240, c=814, length = 2640, b == a+c - False, <lcm - True
k=8 : a=268, b=240, c=812, length = 2640, b == a+c - False, <lcm - True
k=8 : a=268, b=660, c=392, length = 2640, b == a+c - True, <lcm - True
k=8 : a=273, b=240, c=807, length = 2640, b == a+c - False, <lcm - True
k=8 : a=275, b=240, c=805, length = 2640, b == a+c - False, <lcm - True
k=8 : a=280, b=240, c=800, length = 2640, b == a+c - False, <lcm - True
k=8 : a=280, b=660, c=380, length = 2640, b == a+c - True, <lcm - True
k=8 : a=282, b=240, c=798, length = 2640, b == a+c - False, <lcm - True
k=8 : a=287, b=240, c=793, length = 2640, b == a+c - False, <lcm - True
k=8 : a=289, b=240, c=791, length = 2640, b == a+c - False, <lcm - True
k=8 : a=294, b=240, c=786, length = 2640, b == a+c - False, <lcm - True
k=8 : a=296, b=240, c=784, length = 2640, b == a+c - False, <lcm - True
k=8 : a=296, b=660, c=364, length = 2640, b == a+c - True, <lcm - True
k=8 : a=301, b=240, c=779, length = 2640, b == a+c - False, <lcm - True
k=8 : a=303, b=240, c=777, length = 2640, b == a+c - False, <lcm - True
k=8 : a=308, b=240, c=772, length = 2640, b == a+c - False, <lcm - True
k=8 : a=308, b=660, c=352, length = 2640, b == a+c - True, <lcm - True
k=8 : a=310, b=240, c=770, length = 2640, b == a+c - False, <lcm - True
k=8 : a=315, b=240, c=765, length = 2640, b == a+c - False, <lcm - True
